Taille;TempsMoyen(ms);ComparaisonsMoy;AffectationsMoy
10;0;9;32
100;0;99;303
1000;0;999;3007
10000;0;9999;30010
100000;3;99999;300012
500000;18;499999;1500012
1000000;46;999999;3000011
