Taille;TempsMoyen(ms);ComparaisonsMoy;AffectationsMoy
10;0;23;77
100;0;539;1443
1000;0;8691;20951
10000;2;120439;277231
100000;28;1536375;3437855
500000;165;8837456;19451423
1000000;384;18674574;40902847
