Taille;TempsMoyen(ms);ComparaisonsMoy;AffectationsMoy
10;0;29;39
100;0;2474;2578
1000;1;247643;248650
5000;12;6249884;6254893
10000;53;25022285;25032294
30000;651;224842880;224872886
50000;2104;624597503;624647513
